"temperature","humidity","moisture","light","tilt","temperatureConfidence","humidityConfidence","moistureConfidence","lightConfidence","tiltConfidence","overallConfidence","status","createdAt"
30,60.5,55,3875,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:15:50.084Z"
30,60.5,55,3717,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:16:10.686Z"
30,60.5,55,3547,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:16:21.406Z"
30,60.5,55,3316,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:16:33.888Z"
30,60.5,55,2912,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:16:42.094Z"
30,60.5,55,2340,false,100,100,100,80,100,98.00001,"Reliable","2026-07-17T18:16:51.016Z"
30,60.5,55,776,false,100,100,100,80,100,98.00001,"Reliable","2026-07-17T18:17:26.386Z"
30,60.5,55,680,false,100,100,100,80,100,98.00001,"Reliable","2026-07-17T18:17:35.104Z"
30,60.5,55,488,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:18:07.088Z"
80,60.5,55,488,false,0,100,100,100,100,70.00001,"Anomaly","2026-07-17T18:18:15.689Z"
80,60.5,100,488,false,30,100,50,100,100,64.00001,"Anomaly","2026-07-17T18:18:25.283Z"
80,60.5,26,488,false,30,100,50,100,100,64.00001,"Anomaly","2026-07-17T18:18:35.205Z"
77.9,60.5,0,488,false,39.44999,100,53,100,100,67.735,"Anomaly","2026-07-17T18:18:44.133Z"
72.5,60.5,0,488,false,68.75,100,55,100,100,77.125,"Warning","2026-07-17T18:18:52.358Z"
72.5,60.5,8,488,false,68.75,100,78.6,100,100,84.205,"Warning","2026-07-17T18:19:01.972Z"
68.6,60.5,8,488,false,78.5,100,95,100,100,92.05,"Reliable","2026-07-17T18:19:10.316Z"
67.5,60.5,3,488,false,81.25,100,82.5,100,100,89.12501,"Warning","2026-07-17T18:19:19.751Z"
55.7,60.5,19,488,false,87.8,100,100,100,100,96.34,"Reliable","2026-07-17T18:19:28.859Z"
50.5,60.5,19,488,false,86.28,100,100,100,100,95.884,"Reliable","2026-07-17T18:19:37.368Z"
50.5,60.5,28,488,false,95.07999,100,100,100,100,98.524,"Reliable","2026-07-17T18:19:46.489Z"
44.9,60.5,45,488,false,92.68001,100,80.8,100,100,92.04401,"Reliable","2026-07-17T18:19:56.503Z"
30.6,60.5,45,488,false,80,100,95.6,100,100,92.68,"Reliable","2026-07-17T18:20:05.032Z"
